epoch,train_loss,eval_loss,eval_top1,eval_top5
0,7.298573942745433,7.200965,0.08,0.496
1,5.672848346186619,6.2893175,3.816,10.732
2,4.011047407692554,4.30355,61.514,83.396
3,3.66381843884786,2.52956625,76.794,94.25
4,3.490998013346803,1.58328,80.094,95.776
5,3.3987075628018846,1.1657775,81.356,96.308
6,3.343707337098963,0.97461375,82.084,96.518
7,3.301144934168049,0.877906875,82.404,96.6
8,3.206865261582767,0.824471875,82.66,96.696
9,3.2359616639567355,0.792956875,82.798,96.762
10,3.2432153949550555,0.77336625,82.946,96.808
11,3.178322569996703,0.75949125,82.984,96.85
12,3.1493415037790933,0.750205625,83.078,96.884
13,3.1654074005052153,0.7433259375,83.182,96.858
14,3.172197807068918,0.73821875,83.234,96.868
15,3.155353990255618,0.7341509375,83.276,96.89
16,3.0939800248426548,0.731116875,83.326,96.926
17,3.1373131789413153,0.72897625,83.37,96.914
18,3.0772514693877278,0.7271121875,83.428,96.918
19,3.1125294928457223,0.725795625,83.492,96.932
20,3.1145471614949845,0.724269375,83.526,96.952
21,3.09121626031165,0.72303625,83.54,96.976
22,3.0887132392210117,0.722174375,83.554,96.974
23,3.1227206061868107,0.721544375,83.572,96.976
24,3.1070254784004363,0.720761875,83.604,96.974
25,3.0902675694110346,0.720521875,83.616,96.99
26,3.0913915260165346,0.72024375,83.614,96.986
27,3.0734999974568686,0.719966875,83.62,96.996
28,3.1363946713653266,0.7199746875,83.624,96.992
29,3.0668127349778715,0.7196834375,83.618,97.002
30,3.0692111487482108,0.7194225,83.622,97.0
